artist,title,mood,original_mood,lyrics
The Tallest Man on Earth,Love Is All,3,sad,"Well, I walk upon the river like it's easier than land
Evil's in my pocket and your will is in my hand
Oh, your will is in my hand

And I'll throw it in the current that I stand upon so still
Love is all from what I've heard but my heart's learned to kill
Oh, mine has learned to kill

Oh, I said I could rise
From the harness of our goals
Here come the tears
But like always, I let them go
Just let them go

...

******* This Lyrics is NOT for Commercial use *******"
Garbage,Silence Is Golden,0,angry,"If I am silent
Then I am not real
If I speak up then
No one will hear
If I wear a mask there's
Somewhere to hide

Silence is golden
I have been broken
Safe in my own skin
So nobody wins

If I raise my voice
Will someone get hurt?
And if I can't feel
Then I won't get touched
If no truth is spoken
Then no lies can hide

Silence is golden
...

******* This Lyrics is NOT for Commercial use *******"
Van Morrison,And It Stoned Me,2,relaxed,"Half a mile from the county fair
And the rain came pouring down
Me and Billy standing there
With a silver half a crown
Hands are full of the fishing rod
And the tackle on our backs
We just stood there getting wet
With our backs against the fence

Oh, the water
Oh, the water
Oh, the water
Hope it don't rain all day

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me
And it stoned me to my soul
Stoned me just like going home
And it stoned me

And the rain let up, and the sun came up
While we were getting dry
...

******* This Lyrics is NOT for Commercial use *******"
The Proclaimers,I'm On My Way,1,happy,"I'm on my way from misery to happiness today
I'm on my way from misery to happiness today

I'm on my way to what I want from this world
And years from now, you'll make it to the next world
And everything that you receive up yonder
Is what you gave to me the day I wandered

I took a right, I took a right turning yesterday

I took a right, I took a right turning yesterday

I took the road that brought me to your hometown
I took the bus to streets that I could walk down

I walked the streets to find the one I'd looked for
I climbed the stair that led me to your front door
...

******* This Lyrics is NOT for Commercial use *******"
50 Cent,My Gun Go Off,0,angry,"Nigga, my gun go off

You see the barrell turnin'
You feel the hollows burnin'
Nigga now you learnin'
Nigga, my gun go off

Call it attempted murder
Nigga I'm tryin to merk ya
When I come back bustin'
Nigga, my gun go off

Don't try to say I'm trippin'
When I get to flippin'
Then I smack the clip in
Nigga, my gun go off

We call it putting work in
Leavin niggas hurtin
Homocide's learkin'
Nigga my gun go off

Fuck Boy you can see it to believe it
Tryna dodge and wave it end up a parapelegic
Believe me its easy
I'll hurt you, I'll merk you, I'll pop summin'
Drop summin', I aint gonna stop hunting
Run run till you're spun
One shot One gun
One-9
1-1 emergency
It's murder, B
It's excellent execution when I'm pulling the trigger
No mistake for that cake
I'm hittin you and your niggas
Feel the flame when I aim,
For the top of your brain
See the spark and the bang
Nigga shit ain't a game
Do the math or get blast
...

******* This Lyrics is NOT for Commercial use *******"
Collie Buddz,Mamacita,1,happy,"Bartender, next shot of tequila
The vibes tonight, yeah, so sweet yah
I man spot this sweet señorita
We a bounce to the bass and di tweeter
She look, muy bonita
The way she move remind me of Selena

She rock slow, she dip slow
She only dance to reggae and calypso
Look how the dress hug up pon her hips so
Look how she move fast and a do it slow
Muy bonita
Mamacita

Gyal whine let me come behind yuh
Eh! Me make she feel alright
Woulda dance all night if yuh want to
Eh! 'Til a mornin' light
Love how you feel in front a me so
Gyal, let me hold you tight

Look deh, up here get inna di arena
Number one gyal, prima ballerina
Likkle girl, how you fi come in here?
She nuh drink, only smoke sinsemilla
...

******* This Lyrics is NOT for Commercial use *******"
Avenged Sevenfold,Coming Home,0,angry,"I've been away
Searching for a reason
Another purpose to find
I've sailed the seas
Fought my many demons
I've looked to gods in the skies

I've stood in hell
Where many had to suffer
I stared the devil in the eyes
Walked many roads
To witness ancient idols
And found the great gates of fire

Had many storms
Question my conviction
Gave armies reason to rise
...

******* This Lyrics is NOT for Commercial use *******"
Avril Lavigne,How Does It Feel,3,sad,"I'm not afraid of anything
I just need to know that I can breathe
And I don't need much of anything
But suddenly, suddenly

I am small and the world is big
All around me is fast moving
Surrounded by so many things
Suddenly, suddenly

How does it feel to be different from me?
Are we the same?
How does it feel to be different from me?
Are we the same?
How does it feel?

I am young and I am free
But I get tired and I get weak
I get lost and I can't sleep
...

******* This Lyrics is NOT for Commercial use *******"
The Streets,Never Went to Church,3,sad,"Two great European narcotics,
Alcohol and Christianity,
I know which one I prefer

We never went to church,
Just get on with work and sometimes things'll hurt,
But it's hit me since you left us,
And it's so hard not to search.

If you were still about,
I'd ask you what I'm supposed to do now,
I just get a bit scared,
Every now,
Hope I made you proud.

On your birthday when mom passed the forks and spoons,
I put my head on the table I was so distraught with you,
...

******* This Lyrics is NOT for Commercial use *******"
Geto Boys,Chuckie,0,angry,"Verse one: Bushwick Bill

I told you size wasn't shit
That's why I murdered your neices
Wasn't my fault they found they head cut in 88 pieces
Don't let 'em run
Hurry up and catch 'em
You grab an arm I grab an arm let's pull 'till we stretch 'em
Play pussy, get fucked
Means you're better off dead
I wanna see food so I fished in a child's head
Motherfuckers be worried 'cause I'm sick
Dead heads and frog legs
Mmm... cake mix!
Friday the 13th
The night of the living dead
? walkin' 'round givin niggas head
If you didn't die, I'd say you got lucky
All bodies found dead
Fuck it, blame it on Chuckie
But this is child's play... motherfucka!

Verse 2:

Aw fuck, chuck's on a killin' spree!
Gimme some barb and I'll start by killin me!
When I murder, I tried to slack off
Now 100 missiles blew a little girl's back off
My name is Chuckie, some say I'm insane
You give me some gin, and I might eat a dog's brain!
Give me a motherfuckin 15-pack
...

******* This Lyrics is NOT for Commercial use *******"
David Sylvian,September,2,relaxed,"The sun shines high above, the sounds of laughter
The birds swoop down upon the crosses of old grey churches
...

******* This Lyrics is NOT for Commercial use *******"
Demon Hunter,The Tide Began To Rise,3,sad,"I don't belong here
I never saw this on the path I walk
The blood-stained walls, the lines of chalk on the floor
Its getting so hard
I never saw the backlash, when the tide began to rise
I can't remember
The way it was when everything felt right
My mouth held shut and eyes sealed tight with control

So I remember on the inside

I found a dark, infernal place, I don't wanna face anymore
Somehow I won't stop feeding the pain
My heart's just the same as before
I found a dark, infernal place, I dont wanna face anymore,
and somehow

So now I'm stuck here
Between the guilty and the insincere
The words I've spoke have left me here all alone
I should have known this
I never saw the backlash, when the tide began to rise
I wish it all gone
I could've burned it when I had that choice
...

******* This Lyrics is NOT for Commercial use *******"
Lily Holbrook,Better Left Unsaid,3,sad,"i can't cut my heart in sections and i'll show you no objection
cause it's better than being alone, it's better than being alone
And there's a...
A strange elation, in your shadow, assasination
i thought i saw a glimmer of hope, i thought i saw a glimmer of hope

but i dont think that you could ever understand
...everyone keeps falling down
i dont think that you could ever understand
...everyone keeps falling down
i don't think that you could ever understand
...everyone keeps falling down
i don't think that you could ever understand
...everyone keeps falling down

I could stay here in the middle
and speak to you in riddles
...

******* This Lyrics is NOT for Commercial use *******"
Creed,Illusion,0,angry,"The sun rises to another day
My constitution keeps changing, 'til it slips away
So I lie awake and stare
My mind thinking, just wondering does anybody care?

Should I stay or go?
Should I sleep or stay awake?
Am I really happy? Or is it all
Just an illusion?

Sitting in my room now
Hiding thoughts, just hoping one day I'll get out
...

******* This Lyrics is NOT for Commercial use *******"
Egotrippi,Matkustaja,3,sad,"Yöllä linja-autossa
Yksi väsynyt matkustaja
Huuruisesta ikkunasta
Katsoo vaihtuvat maisemat
Laskee vastaantulijat
Pysäkit kun ohi vilahtavat
Tietäen niistä mikä tahansa oisi voinut olla
Se oikea

Asemalta kaikuivat kuulutukset
Kutsuna jota pakoon ei pääse
Nouset kyytiin kerran, oot kyydissä aina

Aina matkalla jonnekin
...

******* This Lyrics is NOT for Commercial use *******"
The Whitest Boy Alive,Don't Give Up,2,relaxed,"Don't give up
Don't give up
Don't give up
Don't give up on you
Get up
Don't give up

Don't give up
Don't you
Don't give up
Don't you
Don't give up
Don't you
Don't give up on you
Give up
No no no
Don't give up
Don't you
Don't give up
Don't you

Get up go go
Get up go go
Get up go go
Get up go go
Go go go
Don't give up go go
...

******* This Lyrics is NOT for Commercial use *******"
Opeth,By the Pain I See in Others,3,sad,"Let me taste
Let me feel
I need to know what you keep inside
No need to speak
Just let it be
Carry out this wish for me
Let nothing interfere

Rise to submission
I'm still beneath in the soil

Discard your clothes
Let loose you hair
We're intertwined forever
And has always been
Say the word
And I'll depart
...

******* This Lyrics is NOT for Commercial use *******"
Salt The Wound,Better Than This,0,angry,"I've shed these tears a hundred times.
The bottles are broken, my well runs dry.
All these painful words make this much harder.
You have no place here, I've left and so should you, should you.

These chains that bound me from this place.
Tonight is the last night you will see my face.
Left alone I've wandered in this place all night.
This has to be the only way to make this right.
Surely if I fell from these...

These chains that bound me from this place.
...

******* This Lyrics is NOT for Commercial use *******"
Iron Maiden,Aces High,0,angry,"There goes the siren that warns of the air raid
Then comes the sound of the guns sending flak
Out for the scramble, we've got to get airborne
Got to get up for the coming attack

Jump in the cockpit and start up the engines
Remove all the wheelblocks, there's no time to waste
Gathering speed as we head down the runway
Got to get airborne before it's too late

Running, scrambling, flying
Rolling, turning, diving, going in again
Running, scrambling, flying
...

******* This Lyrics is NOT for Commercial use *******"
Norah Jones,The Prettiest Thing,2,relaxed,"The prettiest thing I ever did see
Was lightning from the top of a cloud
Moving through the dark a million miles an hour
With somewhere to be

So why does it seem like a picture
Hanging up on someone else's wall?
Lately I just haven't been myself at all
...

******* This Lyrics is NOT for Commercial use *******"
Lamb,Written,2,relaxed,"The wind stands still around you
And suddenly i'm trembling and I don't know why
There's something deep about you
That echoes in my mind

Mystifying feelings
Running round in my brain
Love is all around me
And it's written in your name
Love is all around me
And it's written in your name
...

******* This Lyrics is NOT for Commercial use *******"
Nickleback,Rockstar,0,angry,"I'm through with standing in line to clubs I'll never get in
It's like the bottom of the ninth, and I'm never gonna win
This life hasn't turned out quite the way I want it to be
(Tell me what you want)

I want a brand new house on an episode of Cribs
And a bathroom I can play baseball in
And a king-size tub, big enough for ten plus me
(Uh, so what you need?)

I'll need a credit card that's got no limit
And a big black jet with a bedroom in it
Gonna join the mile high club at 37,000 feet
(Been there, done that)

I want a new tour bus full of old guitars
My own star on Hollywood Boulevard
Somewhere between Cher and James Dean is fine for me
(So how you gonna do it?)

I'm gonna trade this life for fortune and fame
I'd even cut my hair and changed my name

'Cause we all just wanna be big rockstars
And live in hilltop houses, driving 15 cars
The girls come easy, and the drugs come cheap
We'll all stay skinny, 'cause we just won't eat

And we'll hang out in the coolest bars
...

******* This Lyrics is NOT for Commercial use *******"
Mastodon,Megalodon,0,angry,"Myth or legend, nymph tales washed ashore
Near the kraken sleepeth stirs coral and bone
Infinite city, no sexy sneer
Hideous creation, human and animal

Banter songs of rudeness to be adhered
Not on rocks that glisten harps to listen
Comb hair, tear right to pieces
...

******* This Lyrics is NOT for Commercial use *******"
Natalie Walker,No One Else,2,relaxed,"Butterflies
Gravity pulls me into
Anticipate our first touch
Sweet and so new
Let's figure out how to make this forever
Oh this is making me crazy

...

******* This Lyrics is NOT for Commercial use *******"
Stephen Lynch,Country Love Song,1,happy,"I made love to ya all night long
Then I got up to write you a song
I watched ya sleep and I fell in love
Ya must've been sent from heaven above
Don't think you could never do no wrong

Then you farted...
Oh girl you farted.

First I thought that it was kinda cute
...

******* This Lyrics is NOT for Commercial use *******"
Stereophonics,Bright Red Star,3,sad,"Mary is my bright red star
She caught the train to work in the morning when she got up
And then she'd call me up, just to wake me up
But she's alright
She's alright

Mary is my bright red star
She likes to look at the pink sky just before the day turns dark
...

******* This Lyrics is NOT for Commercial use *******"
Bad Manners,Can Can,1,happy,
Hollywood Undead,Young,0,angry,"We are young, but we have heart
Born in this world as it all falls apart
We are strong, but we don't belong
Born in this world as it all falls apart

I see the children in the rain like the parade before the pain
I see the love, I see the hate, I see this world that we can make
I see the life, I see the sky, I'd give it all to see you fly
Yes, we wave this flag of hatred, but you're the ones who made it
I watch the beauty of all our lives, passing right before my eyes
I hear the hate in all your words, all the words to make us hurt
We get so sick, we're so sick, we never wanted all this
Medication for the kids with no reason to live

So we march to the drums of the damned as we come
Watch it burn in the sun, we are numb

We are young, but we have heart
Born in this world as it all falls apart
...

******* This Lyrics is NOT for Commercial use *******"
Hooverphonic,The Magnificent Tree,2,relaxed,"Bought this guitar
At a shop called Mars
But on the way back home
Strange things happened in my car

Started to play
All by itself
Creatures jumped from
...

******* This Lyrics is NOT for Commercial use *******"
Working for a Nuclear Free City,Quiet Place,2,relaxed,"Cross the lines down shifting lights,
Catch it's breath a stream of life,
The tallest trees stretch to the sea,
And to the edge where shadows meet.

...

******* This Lyrics is NOT for Commercial use *******"
Bruce Springsteen,Atlantic City,3,sad,"Well, they blew up the chicken man in Philly last night
Now they blew up his house too
Down on the boardwalk, they're getting ready for a fight
Gonna see what them racket boys can do

Now there's trouble busing in from out of state
And the DA can't get no relief
Gonna be a rumble out on the promenade
And the gambling commission's hanging on by the skin of its teeth

Well, now everything dies, baby, that's a fact
Maybe everything that dies someday comes back
Put your makeup on, fix your hair up pretty
And meet me tonight in Atlantic City

Well, I got a job and tried to put my money away
But I got debts that no honest man can pay
...

******* This Lyrics is NOT for Commercial use *******"
Alison Moyet,Invisible,3,sad,
Eminem,We Made You,1,happy,
Polly Scattergood,I Hate The Way,3,sad,"I hate the way I cry when you say you miss me
But I love the way you hold me when I sleep
I hate the way I bleed each time you kiss me
But you say, ""Hey, sleeping beauty, go back to sleep""

We had pennies in our pockets
We had hope in our eyes
He said, ""Girl, you've got a million different faces
So why'd you put on that disguise?""
Well, take what you want 'cause I have got nothing
Pass me some pills, I'll go to bed
But, however much I toss and turn
I feel a dark place up ahead

Some nights I just sit back here
I remember, I just remember
Before it all got lost up in the mess
He said, ""Not all men are bad and I am not like your dad
And I will hold you even though you're slightly mad
'Cause I am not a man who will ever break you""

We had pennies in our pockets
We had hope in our eyes
He said, ""Girl, you've got a million different faces
So why'd you put on that disguise?""
Well you can take what you want 'cause I have got nothing
...

******* This Lyrics is NOT for Commercial use *******"
Ulrich Schnauss,Wherever You Are,2,relaxed,"5 SECONDS OF SUMMER
WATCH NOW
5 Seconds Of Summer - Wherever You Are...
For a while we pretended
That we never had to end it
But we knew we'd have to say goodbye
You were crying at the airport
When they finally closed the plane door
I could barely hold it all inside

Torn in two
And I know I shouldn't tell you
But I just can't stop thinking of you
Wherever you are
You
Wherever you are
Everynight I almost call you
Just to say it always will be you
...

******* This Lyrics is NOT for Commercial use *******"
Tom Lehrer,We Will All Go Together When We Go,1,happy,"When you attend a funeral
It is sad to think that sooner o'
Later those you love will do the same for you

And you may have thought it tragic
Not to mention other adjec-
Tives, to think of all the weeping they will do
But don't you worry
No more ashes, no more sackcloth
And an armband made of black cloth
Will some day never more adorn a sleeve

For if the bomb that drops on you
Gets your friends and neighbors too
There'll be nobody left behind to grieve

And we will all go together when we go
What a comforting fact that is to know
Universal bereavement
An inspiring achievement
Yes, we all will go together when we go

...

******* This Lyrics is NOT for Commercial use *******"
Helena Bonham Carter & Johnny Depp,Poor Thing,3,sad,"You got a room over the shop, haven't you?
If times is so hard, why don't you rent it out?
People think it's haunted
Haunted?
Yeah, and who's to say they're wrong?
You see, years ago something happened up there
Something not very nice

There was a barber and his wife
And he was beautiful
A proper artist with a knife
But they transported him for life
And he was beautiful

Barker his name was
Benjamin Barker
What was his crime?
Foolishness

He had this wife, ya see
Pretty little thing
Silly little nit
Had her chance for the moon on a string

...

******* This Lyrics is NOT for Commercial use *******"
Megadeth,The World Needs a Hero,0,angry,"An iron fist quietly sits inside the Velvet Glove
Take control, untouchable, just like God above
I can't escape, wrapped in red tape, what will become of me?
If I object, then I defect my country 'tis of thee

""The White House is calling""
Tell them I'll call them back
Just tell 'em anything
Yeah, get 'em off my back

The world needs a hero

Not that I would ever lie but I have no choice
Words I say heard today are not mine, just my voice
...

******* This Lyrics is NOT for Commercial use *******"
Morrissey,Life Is A Pigsty,3,sad,"It's the same old S.O.S.
But with brand new broken fortunes
And once again I turn to
Once again I do I turn to you
It's the same old S.O.S.
But with brand new broken fortunes
I'm the same underneath
But this you, you surely knew

Life is a pigsty
Life is a pigsty
Life is a pigsty
Life is a pigsty
Life, life is a pigsty
Life, life is a pigsty
Life, life is a pigsty
Life is a pigsty
...

******* This Lyrics is NOT for Commercial use *******"
Muse,Agitated,0,angry,"All wound up
On the edge
Terrified
Sleep disturbed
Restless mind
Petrified
Bouts of fear
Permeate
All I see
Heightening
Nervousness
Theatens me

I am paralyzed
So afraid to die

Caught off guard
Warning signs
Never show
Tension strikes
...

******* This Lyrics is NOT for Commercial use *******"
Fourplay,Fields Of Gold,2,relaxed,"You'll remember me when the west wind moves upon the fields of barley.
You'll forget the sun in his jealous sky as we walk in fields of gold.
So she took her love for to gaze awhile upon the fields of barley.
In his arms she fell as her hair came down among the fields of gold.

Will you stay with me, will you be my love among the fields of barley?
...

******* This Lyrics is NOT for Commercial use *******"
Rascal Flatts,Summer Nights,1,happy,"It's summer nights, baby
Whoa! Yeah

Come on ladies, it's time to pop that top
And fellas, I know you're ready to rock
We went crazy, cooped up all winter long
And school is out so let's get it on
Flip-flop tan and some white sand
I know the perfect spot
Well the sunset better set soon so we can get in the mood
Things start gettin' all heated up when it starts gettin' cool
Yeah

Summer nights
Everybody, are you with me?
Let that Igloo cooler mark your piece of paradise
Summer nights
Everybody's feeling sexy
Holler if you're ready for some summer nights
Come on, oh, yeah, yeah

...

******* This Lyrics is NOT for Commercial use *******"
José Padilla,Adios Ayer,2,relaxed,"Alisha's Attic
Miscellaneous
Sex Is On Everyone's Tongue
Sex is on everyone's tongue
Everybody wants to be tied up with someone
Expectations are higher than kites
I see through it sometimes

Sex is on everyone's tongue
Everybody wants to get a quick hit a quick fix
And that's just what's going on
Makes me wonder sometimes
Why we all play the game

Kissing perfect strangers with no shame
We don't catch their name
Cos we'll never fall in love
That's a word we don't get
...

******* This Lyrics is NOT for Commercial use *******"
Dr. Dog,The Breeze,2,relaxed,"Are you movin' much too fast?
And the good times that just don't last
If you're always on the go
Make an angel in the snow
And freeze

Do you feel like you're stuck in time?
Forever waitin' on that line
If nothing ever moves
Put that needle to the groove
And sing

Is it a dream keepin' you awake?
...

******* This Lyrics is NOT for Commercial use *******"
Girls In Hawaii,Bees & butterflies,2,relaxed,"Bees & Butterflies

When I'm feelings so high
My hands start to reach very high oh oh...
When I'm feeling so high
My hands start to reach very high oh oh...

Sorry for it
...

******* This Lyrics is NOT for Commercial use *******"
Cradle of Filth,Dirge Inferno,0,angry,"Carrion my name
For those who choose to mouth the curse
A tragic serenade
With Judas in my stride
The Gothic halls of shame
Where statues coldly hold no worse
Than the murders I reclaim
From a dark, forsaken time""

Kissing heaven, spent
He wipes lips free of his hectic discharge
Wishing to repent
For the brute that ravaged free
In slight hands beauty weeps
Conquest's deep methodical screwing
Hurt repeatedly
Like the world wound at his feet

Dirge Inferno

As it is written, damn it
So let it be wrong
...

******* This Lyrics is NOT for Commercial use *******"
Foals,Big Big Love (Fig. 2),2,relaxed,"See how the skulls we build
Fill all the towers we build
Crash down fury red
There's cracks in our hearts and heads

See how the skulls we build
Fill all the towers we build
Crash down fury red
There's cracks in our hearts and heads

See how the skulls we build
Fill all the towers we build
Crash down fury red
There's cracks in our hearts and heads

Your smile sticks a kiss
That could stop it
Your smile sticks a kiss
That could stop it
Your smile sticks a kiss
Your smile sticks a kiss
...

******* This Lyrics is NOT for Commercial use *******"
Metallica,Welcome Home (Sanitarium),3,sad,"Welcome to where time stands still
No one leaves and no one will
Moon is full, never seems to change
Just labelled mentally deranged

Dream the same thing every night
I see our freedom in my sight
No locked doors, no windows barred
No things to make my brain seem scarred

Sleep, my friend, and you will see
The dream is my reality
They keep me locked up in this cage
Can't they see it's why my brain says rage?

Sanitarium
Leave me be
...

******* This Lyrics is NOT for Commercial use *******"
Imogen Heap,Little Bird,2,relaxed,"Little bird, little bird, little bird, what do you hear?
The clink of morning cheers
Orange juice concentrate
Crossword puzzles start to grate
One across
Four letter word, it's just not sitting

Little bird, little bird, little bird, what do you see?
A picture perfect scene
Two-tone lawns are manicured
The garden's wearing haute couture
It's hiding something, it's trying too hard
Hiding something, it's trying too hard

Little bird, little bird, little bird, where are they now?
Day time TV lounge
...

******* This Lyrics is NOT for Commercial use *******"
The Flying Burrito Brothers,Do You Know How It Feels,3,sad,"Do you know how it feels to be lonesome?
When there's just no one left who really cares
Did you ever try to smile at some people?
And all they ever seem to do is stare

...

******* This Lyrics is NOT for Commercial use *******"
Grizzly Bear,Easier,2,relaxed,"I know, I know, the doors won't close
Pipes all froze, just let it go

...

******* This Lyrics is NOT for Commercial use *******"
Eric Church,Sinners Like Me,2,relaxed,"I was 15 when my daddy's old man
Caught me halfway through my first beer
He laughed so hard when my face turned green
He said, ""You come from a long line of sinners like me""

Now me and my brother go to see him sometimes
But he don't have much to say anymore
So we sit on his headstone with a fifth of Jack D
Here's to a long line of sinners like me
La-de-dah-de-dah
La-de-dah-dah, de-de
I come from a long line of sinners like me

...

******* This Lyrics is NOT for Commercial use *******"
Bachman-Turner Overdrive,Roll On Down The Highway,1,happy,"We rented a truck and a semi to go
Travel down the long and the winding road
Look on the map, I think we've been there before
Close up the doors, let's roll once more

Cop's on the corner, look he's starting to write
Well, I don't need no ticket, so I screamed, ""Outta sight""
Drove so fast that my eyes can't see
Look in the mirror, is he still following me?

Let it roll down the highway
Let it roll down the highway
Roll, roll

...

******* This Lyrics is NOT for Commercial use *******"
ZZ Top,Gimme All Your Lovin',1,happy,"I got to have a shot
'Cause what you got is, oh, so sweet
You got to make it hot
Like a boomerang I need a repeat

Gimme all your lovin'
All your hugs and kisses too

Gimme all your lovin'
Don't let up until we're through
...

******* This Lyrics is NOT for Commercial use *******"
System of a Down,War?,0,angry,"Dark is the light
The man you fight
With all your prayers, incantations
Running away, a trivial day
Of judgment and deliverance
To whom was sold, this bounty soul
A gentile or a priest?
Who victored over, the Seljuks
When the holy land was taken

We will fight the heathens, we will fight the heathens
We will fight the heathens, we will fight the heathens

Was it the riches, of the land
Powers of bright darkness
...

******* This Lyrics is NOT for Commercial use *******"
Nachtmahr,Feuer Frei!,0,angry,"21 Zentimeter
Stahl an deiner Stirn
Meine neue Wahrheit
Frisst sich in dein Gehirn

9 Millimeter
Direkt in dein Gesicht
...

******* This Lyrics is NOT for Commercial use *******"
Stacey Kent,Bali Ha'i,2,relaxed,"Bali Ha'i may call you,
Any night and any day,
In your heart you'll hear it call you,
""Come away, come away""

Bali Ha'i will whisper,
On the wind of the sea,
""Here am I your special island""
""Come to me, come to me""

...

******* This Lyrics is NOT for Commercial use *******"
