lyrics,mood,embedding,reduced_embedding
well walk upon river like easier land evil pocket hand oh hand throw current stand upon still love heard heart learned kill oh mine learned kill oh said could rise harness goal come tear like always let go must let go,3,"[-0.0146498  -0.01522591  0.01221502 ... -0.01119996  0.0166662
 -0.019245  ]","[0.024082102572923418, -0.06722823451682086, -0.061188148676862945, -0.009302046644816108, 0.009178172826484931, 0.07039944560957181, 0.049171358755440125, 0.08658029912259653, -0.04826245483033299, 0.11880309285614338, 0.013477465066110443, 0.056138065137450524, -0.013984073739038644, 0.04495781365264347, -0.01770308642788842, -0.02361367512325581, 0.029764134705178497, 0.03890793566272375, 0.022376418774357167, 0.02667606092825402, 0.0656832243553837, 0.022488160516566838, 0.0010697566399721235, -0.037264635905349335, 0.03906597766867306, -0.006285478161748947, -0.006610617623927787, 0.02821249461890928, 0.03175284036688603, 0.008405802444784746, -0.0017030025650496012, -0.041971806692088186, 0.026808309649591744, -0.028037308664554592, 0.009864330661350562, -0.011803448123160021, -0.0025844523178374223, -0.00026107404738272993, -0.030692146884767138, 0.001071280155107981, 0.032129562455787596, -0.010008080054301727, -0.011288052510851831, -0.031087945841169758, 0.003228116525166671, -0.028313482247895993, 0.018244281144146047, 0.013074770399935157, 0.042873165786636865, 0.008215073995397771]"
silent real speak one hear wear mask somewhere hide silence golden broken safe skin nobody win raise voice someone get hurt feel get touched truth spoken lie hide silence golden,0,"[-0.00381648 -0.00709695  0.00836571 ... -0.03191591 -0.0085082
 -0.01622935]","[0.03148574606869286, -0.03714947897277791, -0.057998400618163234, -0.0007540117475801669, -0.01933736299871791, -0.014471302797016675, -0.04879135477704546, 0.0455867988883209, -0.05754748784649694, -0.035364846804228176, 0.005056762967998252, 0.022706158349270037, 0.0024088873027029523, -0.02518365957965185, 0.12619255934119825, 0.08274014618030877, 0.01897805518347585, 0.03192877324147401, 0.03774996166119684, 0.027456491230385564, -0.007300192741210846, -0.0032074424711030294, -0.023173755680779052, 0.028785371528216086, -0.0069341177337104015, -0.0010184346412524937, -0.0006725744516407704, -0.016175952667583454, 0.02368795782549166, -0.026097209823711952, 0.008333270009173447, 0.009263629954072865, 0.028431637425191128, -0.008805987951816294, -0.003298474192504621, -0.01289920773544174, 0.03533942533744877, 0.006133971389817667, 0.06743495186888808, 0.06748363713799861, -0.01952276832482638, -0.023540698274662916, 0.021754341078135536, 0.020989535957272706, -0.004706063375248103, -0.015309254368244388, -0.0056086151922194495, 0.0037645036286662156, -0.004982555332661017, 0.0289066559297751]"
half mile county fair rain came pouring silly standing silver half crown hand full fishing rod tackle back stood getting wet back fence oh water oh water oh water hope rain day stoned soul stoned like belly toll stoned stoned soul stoned like going home stoned rain let sun came getting dry,2,"[-0.00525827 -0.00518359  0.01037398 ...  0.00365941 -0.01000057
 -0.01727185]","[0.005909980200053714, -0.04669506509105119, 0.14302521785732336, 0.06467290213064392, -0.018588738217951182, 0.012332717517543472, 0.048942296649285046, -0.030791196316482604, 0.025840345491506628, 0.05404296649686463, 0.06392763135543879, 0.0779131001648021, 0.08402257298758797, 0.017418683065583276, -0.06440906042086923, -0.003551887632196107, 0.02398538343729787, 0.004933992559848298, 0.024961737956227175, 0.024767863674401314, 0.03169763803890752, 0.02696325896203295, -0.0016652594600655795, 0.026897546709159583, 0.03370699479816725, -0.010766477765786486, -0.0024114937648687736, -0.011671521445890962, -0.003141075417931964, -0.05514006241758145, -0.01809004984284336, 0.03314269134253154, -0.009451645565960046, 0.048059480516944336, -0.004080645612361678, 0.04393889444934954, 0.03011912594569321, 0.02336149728467808, 0.025419392027464953, 0.03213095544221194, 0.04697010444316436, -0.004970102646228399, 0.004165835991159113, -0.05198403182882042, -0.02598176502697689, -0.04168270837201574, -0.04832709552004136, 0.027149167941736208, 0.0007011075608896772, -0.012816982739954855]"
way misery happiness today way misery happiness today way want world year make next world everything receive yonder gave day wandered took right took right turning yesterday took right took right turning yesterday took road brought hometown took bus street could walk walked street find one would looked climbed stair led front door,1,"[ 0.00402977  0.00170253  0.01823349 ... -0.01120371  0.0151717
 -0.031991  ]","[-0.02500029712900341, -0.025627935703396092, -0.020117937347057628, 0.11648449390638002, 0.02118434022516125, 0.057158104275506064, -0.021863024667048786, -0.03325454327402236, 0.07492691766100196, -0.015002671518962184, 0.021388148378526255, 0.05608978922513205, -0.00325718161716361, 0.06368056448001616, -0.02229918878946079, 0.013600529431593796, -0.0328713848839268, -0.003493160741084878, -0.07190597983296308, -0.06967294827575178, 0.05835727897687117, -0.028954642669162357, -0.03372613810653376, -0.027865685521392028, 0.010895696152984224, 0.002718393129164554, -0.059707071691467044, 0.0022113155634634397, -0.047532681782068, -0.045434477291447166, 0.04948811775393423, 0.021737107464742923, 0.060566896017739597, -0.008858342630561865, 0.008348474675369708, -0.02483022785256734, 0.01313961440954541, 0.032447192144409324, 0.019109643156486104, -0.05038232599368318, 0.026339223569357185, 0.007002410903962252, -0.025218819995270477, 0.004635053579879921, 0.026491568039687666, 0.01894315795283136, 0.026366771397117673, 0.04404321953631011, 0.014761453017494175, -0.02196960376384269]"
nigga gun go see barrel turning feel hollow burning nigga learning nigga gun go attempted murder nigga trying mere come back austin nigga gun go try say tripping get slipping smack clip nigga gun go call putting work leaving night hurting homocides learn nigga gun go luck boy see believe bryan dodge wave end paraplegia believe easy hurt mere pop summon drop summon going stop hunting run run till spun one shot one gun one emergency murder b excellent execution pulling trigger mistake cake hitting night feel flame aim top brain see spark bang nigga shit game path get blast,0,"[-2.96985824e-02 -4.32100169e-05 -8.29974189e-03 ... -3.38005945e-02
 -6.88796537e-03 -6.01970591e-03]","[0.16059896489772257, 0.07934897521004992, -0.030964828673485215, 0.004047313937344125, -0.1276057554248372, 0.01639350496368325, -0.0010484592120237183, 0.02535470992572268, -0.012384734401905944, 0.011861857390101538, -0.011059430183434546, 0.008540530799890596, 0.05317497797830369, 0.01284407396129535, 0.003507059560582704, 0.012930681216266284, -0.016050063949653547, -0.047318773879259354, 0.038233151197080144, 0.04361685984154373, -0.002870880624487187, 0.04924417726989349, -0.040389378726658216, -0.08587865161567061, 0.017862671037092066, -0.03810485501473868, 0.05460904863355039, -0.03867120113163082, -0.03313442990283822, -0.013171791912321122, -0.004822018739685204, 0.03080941815665249, 0.03958203958973232, 0.01473231475466617, 0.025239281107496757, -0.03987189779253905, -0.007781098802975629, -0.003862995934193465, -0.012336044894015177, -0.004177007359968924, -0.06649871425486001, 0.006282655102014737, 0.015740684432491145, -0.07146169520416172, -0.013203493171138546, -0.01159976776211343, -0.05545656884268916, -0.02755120667990082, 0.025327438352048946, -0.028060705519735565]"
bartender next shot tutuila vice tonight yeah sweet ah man spot sweet señorita bounce bass di sweeter look may sonata way move remind helena rock slow dip slow dance regime calypso took dress hug pon hip took move fast slow buy sonata mamacita royal whine let come behind ouh oh make feel alright would dance night ouh want oh oil morning light love feel front royal let hold tight took de get anna di arena number one goal prima wallerian sickle girl come nut drink smoke sinsemilla,1,"[-7.82999489e-03 -1.17344772e-02 -7.36033544e-04 ... -1.66553874e-02
  9.83130536e-04 -3.18181155e-05]","[-0.025494821150871826, 0.11889632127716161, 0.1059038126516585, -0.07269247135766664, -0.05893782570732498, -0.006632359054349632, 0.07716505258143168, -0.028420458398965436, 0.0068283046284715486, 0.039696247138884505, 0.01982630694946701, 0.006284870828471338, 0.012166390178860818, -0.023967570604499038, -0.0651843814894354, 0.027766378163650685, -0.014956890072082963, 0.030907164129580732, 0.00845891116867506, 0.03077369071555074, -0.02694866693733177, 0.00389346673616835, 0.051304927253340134, -0.020030167901536288, -0.057175149164793077, 0.0026469562598359685, -0.0177970002915406, -0.003166233539562559, 0.0064476962438234225, 0.028739954314823544, -0.06187756298220962, -0.007706600290242809, -0.005191607820047819, -0.04388831172692887, 0.049512809624233406, -0.0042874589488889675, 0.027777084375087573, 0.01819653698845727, 0.007235161101005765, -0.041535937617010604, 0.01870145113564782, 0.02351605366800765, -0.01976044330883759, 0.01315582197644571, -0.0042424693323664005, 0.02081447323401603, -0.010102728038974567, 0.02712245609123506, -0.021885492251678764, -0.031404110256404126]"
away searching reason another purpose find sailed sea ought many demon looked god sky stood hell many suffer stared devil eye talked many road witness ancient idol found great gate fire many storm question conviction army reason rise,0,"[ 0.01011466 -0.01760143 -0.00757573 ...  0.00225493 -0.00155775
 -0.01349534]","[0.07098244626460823, -0.12928731994432868, -0.022467768997544706, -0.004396876354784908, 0.048512805414592845, 0.1003416629303123, -0.016562119691587468, 0.005745551077090985, -0.05442528045029823, 0.010179212080783675, -0.04303598487573145, 0.015741392184615212, 0.015927263422643577, 0.09865763882955388, -0.02515435784257238, 0.0011615452887263696, -0.009822264949097883, 0.009268123443600614, -0.018499995474808777, -0.0495517659645835, -0.007150658352359465, -0.024999705452049915, 0.06751273492298307, -0.047711456751312546, -0.019014782958566977, 0.03327925572786312, -0.06260543341245767, -0.05460110974197033, -0.020935594373361607, -0.0049556804780436494, -0.00373099571781583, 0.016762312029422036, 0.0006050250094200821, 0.021075413105023342, -0.017635628772468683, -0.0008399850266213591, -0.00528352461639701, -0.026527007548682636, -0.019084619665035763, 0.01953014222697473, -0.02352964419124751, -0.024048460009460197, 0.055708009358654005, 0.013706096958335846, -0.033512194149981626, -0.004850434449486612, -0.023588031244020032, 0.027165315774434786, -0.014555853194229423, -0.03174991405319122]"
afraid anything need know breathe need much anything suddenly suddenly small world big around fast moving surrounded many thing suddenly suddenly feel different feel different feel young free get tired get weak get lost sleep,3,"[ 0.00178785  0.01069722  0.0177291  ...  0.00101013 -0.00887119
 -0.03896419]","[-0.04829156883706615, -0.0007539390185136975, -0.05844577776351381, 0.01178796867476858, -0.0828572539977438, -0.046348599285219484, -0.147507464973445, -0.06389281964403744, 0.03914819570564369, -0.014939108955568386, -0.01430041805676502, -0.07943396333868373, -0.0327738071489392, 0.07598219377790258, -0.010985080146568849, 0.03174765038508061, 0.04995912985402088, 0.007240871547980058, -0.025690367291806855, 0.016753721576484287, 0.006206293972941754, 0.019481332369160182, 0.016119648647078197, 0.011488761740398853, 0.0010486170184575917, -0.00551270469284554, 0.030466258541229377, -0.06167710637084869, 0.02946520078132903, -0.019488720694476335, 0.04004494232664049, -0.03406218138028761, -0.09025868733062302, -0.07150330268641651, 0.02997896298458523, -0.009750877318924666, 0.03251039627284238, 0.029148796473277925, 0.008228632636113719, -0.061775290062386544, 0.0229214892780034, 0.004265963428026733, 0.05139831665962994, 0.06407412095559815, -0.03336109587964704, -0.01552320198853443, 0.05504916201758617, -0.022491256086186896, 0.0011590170657513066, 0.010176813615880976]"
two great european narcotic alcohol christianity know one prefer never went church must get work sometimes thingsll hurt hit since left u hard search still would ask supposed get bit scared hope made proud birthday mon passed fork spoon put head table distraught,3,"[ 0.01251997 -0.00472622  0.01376225 ...  0.00762719  0.0283712
 -0.01089599]","[0.10422065732379072, 0.03626715186767914, -0.03521409004520106, 0.03406866680273905, 0.0424843138813284, -0.035470927779915236, 0.04602154893041107, -0.0756276661722595, 0.06627326466628698, -0.023120039700347934, 0.022744356917131517, -0.010795760732210965, 0.007526663012761585, 0.02915492531750715, -0.10463063542648085, 0.07782374621146858, 0.025462117502533306, -0.010053882489321998, 0.00743934517082103, 0.04449479934003164, -0.03515007907128809, -0.07584640988001944, 0.03906455428840095, -0.05618841527672718, -0.01047331644754841, -0.002485419694571041, -0.0417260073592713, -0.04699610685430367, -0.0467028288675323, -0.013686558004304161, -0.013236523498947207, -0.024535587419779174, -0.06607570964566828, 0.007660578463723024, 0.053617833545773805, -0.019449483630871085, -0.032205570128380163, -0.004177677378620629, 0.026098836648153045, -0.045073969945811615, -0.01434513274177198, 0.020495453277693945, -0.006459703004044405, 0.015068547316127234, -0.02095731543125705, 0.0002456984508283242, -0.01752168352147192, -0.007943173270804111, -0.01340074450078864, 0.021929859351200152]"
verse one bushwick told size shit murdered niece fault found head cut piece let run hurry catch grab arm grab arm let u pull till stretch lay hussy get tucked mean better dead want see food fished child head motherfucker worried sick head head frog leg mmm cake mix friday night living dead walking round given night head die would say got lucky body found dead luck blame chuckle child play motherfucka verse w fuck chuck killing spree give bare start killing murder tried slack missile blew little girl back name chuckle say insane give gin might eat dog brain give motherfuckin pack,0,"[-0.00224265  0.00549535  0.00324414 ... -0.03333502 -0.02465203
 -0.0302946 ]","[0.16529145085023222, 0.11654207271177916, 0.017625558296906273, 0.006880960486261782, -0.0555042218568807, -0.044717143405358, 0.07170317836066262, 0.04194593440556829, -0.013589609087211631, -0.052010023224449434, 0.028044123918164438, 0.04654852103301427, -0.0027902942429224122, 0.03971374366819761, 0.015753037077923884, -0.005403619979031372, 0.005953171879433148, -0.027042350701733067, 0.02868009409862703, 0.042603318421455996, 0.05272845447369564, 0.026762713575940858, -0.012549813224374836, 0.015811619449916894, 0.031622067510936984, -0.04960295646543885, 0.06482388261997528, 0.050352098551574694, -0.011020526421566031, 0.02332823151371811, -0.019451052255875147, -0.023449673831537104, -0.013082715637915599, -0.020174286908770135, 0.024765124395816584, 0.009767657934997695, 0.028081989035088923, -0.006364639308954271, 0.01409251465354813, -0.05245043449142973, 0.0029378446074392437, -0.015449996506890808, -0.021407605511676333, -0.02654846794405556, 0.020692671155131185, 0.01475538969935283, -0.03451335097736619, -0.00923379074953672, 0.008134887060227625, -0.01892485088708757]"
sun shine high sound laughter bird stoop upon cross old grey church,2,"[ 1.09513719e-02  3.33940516e-05 -2.40082643e-03 ... -1.78718921e-02
 -2.52762483e-03 -1.36675267e-02]","[0.0057646224304556395, -0.12733339091046683, 0.1575335638706835, 0.010366860923960575, 0.07243674070614624, 0.009495195842516508, -0.005441771046647422, -0.00352025241345282, 0.031796346072176344, -0.007404241578595931, 0.11601681367811326, 0.03830442449495416, 0.035855695511321214, 0.01464665212521787, 0.04541217984485573, 0.07609515539312328, -0.04640147939180624, 0.02661647759191958, 0.04227759592228273, -0.015122437089777554, 0.023851217183665452, 0.021296661559974294, -0.02920977699273443, 0.01290581743564839, 0.014908569202973558, 0.010810225897310849, 0.011413514373001393, 0.005652507371114099, -0.018381551693038397, 0.011004040884050617, -0.018622432093492677, 0.000767463617012103, -0.031003964741676972, 0.030016087625248506, -0.01921473474667503, -0.007003865350987416, -0.00849794991366599, -0.04285425204631212, 0.05991652340519023, -0.003191602440948933, -0.009692367666858232, 0.039919055830566735, 0.02939389398452511, 0.01928564480623238, -0.011364168202000093, 0.04644457209366243, -0.0025372827636985684, -0.02745600030324081, 0.007296737439143295, 0.029421610010686577]"
