artist,title,mood,original_mood,lyrics,word_count,avg_word_length
Collie Buddz,Mamacita,1,happy,"Bartender next shot of tequila
The vibes tonight yeah so sweet yah
I man spot this sweet señorita
We a bounce to the bass and di tweeter
She look muy bonita
The way she move remind me of Selena

She rock slow she dip slow
She only dance to reggae and calypso
Look how the dress hug up pon her hips so
Look how she move fast and a do it slow
Muy bonita
Mamacita

Gyal whine let me come behind yuh
Eh Me make she feel alright
Woulda dance all night if yuh want to
Eh Til a mornin light
Love how you feel in front a me so
Gyal let me hold you tight

Look deh up here get inna di arena
Number one gyal prima ballerina
Likkle girl how you fi come in here
She nuh drink only smoke sinsemilla
",143,3.7762237762237763
Avenged Sevenfold,Coming Home,0,angry,"Ive been away
Searching for a reason
Another purpose to find
Ive sailed the seas
Fought my many demons
Ive looked to gods in the skies

Ive stood in hell
Where many had to suffer
I stared the devil in the eyes
Walked many roads
To witness ancient idols
And found the great gates of fire

Had many storms
Question my conviction
Gave armies reason to rise
",67,4.253731343283582
Avril Lavigne,How Does It Feel,3,sad,"Im not afraid of anything
I just need to know that I can breathe
And I dont need much of anything
But suddenly suddenly

I am small and the world is big
All around me is fast moving
Surrounded by so many things
Suddenly suddenly

How does it feel to be different from me
Are we the same
How does it feel to be different from me
Are we the same
How does it feel

I am young and I am free
But I get tired and I get weak
I get lost and I cant sleep
",97,3.5670103092783507
The Streets,Never Went to Church,3,sad,"Two great European narcotics
Alcohol and Christianity
I know which one I prefer

We never went to church
Just get on with work and sometimes thingsll hurt
But its hit me since you left us
And its so hard not to search

If you were still about
Id ask you what Im supposed to do now
I just get a bit scared
Every now
Hope I made you proud

On your birthday when mom passed the forks and spoons
I put my head on the table I was so distraught with you
",92,3.8369565217391304
Geto Boys,Chuckie,0,angry,"Verse one Bushwick Bill

I told you size wasnt shit
Thats why I murdered your neices
Wasnt my fault they found they head cut in 88 pieces
Dont let em run
Hurry up and catch em
You grab an arm I grab an arm lets pull till we stretch em
Play pussy get fucked
Means youre better off dead
I wanna see food so I fished in a childs head
Motherfuckers be worried cause Im sick
Dead heads and frog legs
Mmm cake mix
Friday the 13th
The night of the living dead
 walkin round givin niggas head
If you didnt die Id say you got lucky
All bodies found dead
Fuck it blame it on Chuckie
But this is childs play motherfucka

Verse 2

Aw fuck chucks on a killin spree
Gimme some barb and Ill start by killin me
When I murder I tried to slack off
Now 100 missiles blew a little girls back off
My name is Chuckie some say Im insane
You give me some gin and I might eat a dogs brain
Give me a motherfuckin 15pack
",183,3.8633879781420766
David Sylvian,September,2,relaxed,"The sun shines high above the sounds of laughter
The birds swoop down upon the crosses of old grey churches
",20,4.4
Demon Hunter,The Tide Began To Rise,3,sad,"I dont belong here
I never saw this on the path I walk
The bloodstained walls the lines of chalk on the floor
Its getting so hard
I never saw the backlash when the tide began to rise
I cant remember
The way it was when everything felt right
My mouth held shut and eyes sealed tight with control

So I remember on the inside

I found a dark infernal place I dont wanna face anymore
Somehow I wont stop feeding the pain
My hearts just the same as before
I found a dark infernal place I dont wanna face anymore
and somehow

So now Im stuck here
Between the guilty and the insincere
The words Ive spoke have left me here all alone
I should have known this
I never saw the backlash when the tide began to rise
I wish it all gone
I couldve burned it when I had that choice
",154,3.961038961038961
Lily Holbrook,Better Left Unsaid,3,sad,"i cant cut my heart in sections and ill show you no objection
cause its better than being alone its better than being alone
And theres a
A strange elation in your shadow assasination
i thought i saw a glimmer of hope i thought i saw a glimmer of hope

but i dont think that you could ever understand
everyone keeps falling down
i dont think that you could ever understand
everyone keeps falling down
i dont think that you could ever understand
everyone keeps falling down
i dont think that you could ever understand
everyone keeps falling down

I could stay here in the middle
and speak to you in riddles
",112,4.383928571428571
Creed,Illusion,0,angry,"The sun rises to another day
My constitution keeps changing til it slips away
So I lie awake and stare
My mind thinking just wondering does anybody care

Should I stay or go
Should I sleep or stay awake
Am I really happy Or is it all
Just an illusion

Sitting in my room now
Hiding thoughts just hoping one day Ill get out
",64,4.015625
Egotrippi,Matkustaja,3,sad,"Yöllä linjaautossa
Yksi väsynyt matkustaja
Huuruisesta ikkunasta
Katsoo vaihtuvat maisemat
Laskee vastaantulijat
Pysäkit kun ohi vilahtavat
Tietäen niistä mikä tahansa oisi voinut olla
Se oikea

Asemalta kaikuivat kuulutukset
Kutsuna jota pakoon ei pääse
Nouset kyytiin kerran oot kyydissä aina

Aina matkalla jonnekin
",42,6.5476190476190474
The Whitest Boy Alive,Don't Give Up,2,relaxed,"Dont give up
Dont give up
Dont give up
Dont give up on you
Get up
Dont give up

Dont give up
Dont you
Dont give up
Dont you
Dont give up
Dont you
Dont give up on you
Give up
No no no
Dont give up
Dont you
Dont give up
Dont you

Get up go go
Get up go go
Get up go go
Get up go go
Go go go
Dont give up go go
",78,2.923076923076923
Opeth,By the Pain I See in Others,3,sad,"Let me taste
Let me feel
I need to know what you keep inside
No need to speak
Just let it be
Carry out this wish for me
Let nothing interfere

Rise to submission
Im still beneath in the soil

Discard your clothes
Let loose you hair
Were intertwined forever
And has always been
Say the word
And Ill depart
",60,4.05
Salt The Wound,Better Than This,0,angry,"Ive shed these tears a hundred times
The bottles are broken my well runs dry
All these painful words make this much harder
You have no place here Ive left and so should you should you

These chains that bound me from this place
Tonight is the last night you will see my face
Left alone Ive wandered in this place all night
This has to be the only way to make this right
Surely if I fell from these

These chains that bound me from this place
",88,4.0
Iron Maiden,Aces High,0,angry,"There goes the siren that warns of the air raid
Then comes the sound of the guns sending flak
Out for the scramble weve got to get airborne
Got to get up for the coming attack

Jump in the cockpit and start up the engines
Remove all the wheelblocks theres no time to waste
Gathering speed as we head down the runway
Got to get airborne before its too late

Running scrambling flying
Rolling turning diving going in again
Running scrambling flying
",82,4.426829268292683
Norah Jones,The Prettiest Thing,2,relaxed,"The prettiest thing I ever did see
Was lightning from the top of a cloud
Moving through the dark a million miles an hour
With somewhere to be

So why does it seem like a picture
Hanging up on someone elses wall
Lately I just havent been myself at all
",50,4.0
Lamb,Written,2,relaxed,"The wind stands still around you
And suddenly im trembling and I dont know why
Theres something deep about you
That echoes in my mind

Mystifying feelings
Running round in my brain
Love is all around me
And its written in your name
Love is all around me
And its written in your name
",54,4.222222222222222
Nickleback,Rockstar,0,angry,"Im through with standing in line to clubs Ill never get in
Its like the bottom of the ninth and Im never gonna win
This life hasnt turned out quite the way I want it to be
Tell me what you want

I want a brand new house on an episode of Cribs
And a bathroom I can play baseball in
And a kingsize tub big enough for ten plus me
Uh so what you need

Ill need a credit card thats got no limit
And a big black jet with a bedroom in it
Gonna join the mile high club at 37000 feet
Been there done that

I want a new tour bus full of old guitars
My own star on Hollywood Boulevard
Somewhere between Cher and James Dean is fine for me
So how you gonna do it

Im gonna trade this life for fortune and fame
Id even cut my hair and changed my name

Cause we all just wanna be big rockstars
And live in hilltop houses driving 15 cars
The girls come easy and the drugs come cheap
Well all stay skinny cause we just wont eat

And well hang out in the coolest bars
",200,3.72
Mastodon,Megalodon,0,angry,"Myth or legend nymph tales washed ashore
Near the kraken sleepeth stirs coral and bone
Infinite city no sexy sneer
Hideous creation human and animal

Banter songs of rudeness to be adhered
Not on rocks that glisten harps to listen
Comb hair tear right to pieces
",46,4.673913043478261
Natalie Walker,No One Else,2,relaxed,"Butterflies
Gravity pulls me into
Anticipate our first touch
Sweet and so new
Lets figure out how to make this forever
Oh this is making me crazy

",27,4.407407407407407
Stephen Lynch,Country Love Song,1,happy,"I made love to ya all night long
Then I got up to write you a song
I watched ya sleep and I fell in love
Ya mustve been sent from heaven above
Dont think you could never do no wrong

Then you farted
Oh girl you farted

First I thought that it was kinda cute
",56,3.5714285714285716
Stereophonics,Bright Red Star,3,sad,"Mary is my bright red star
She caught the train to work in the morning when she got up
And then shed call me up just to wake me up
But shes alright
Shes alright

Mary is my bright red star
She likes to look at the pink sky just before the day turns dark
",55,3.6
Bad Manners,Can Can,1,happy,,0,0.0
Hollywood Undead,Young,0,angry,"We are young but we have heart
Born in this world as it all falls apart
We are strong but we dont belong
Born in this world as it all falls apart

I see the children in the rain like the parade before the pain
I see the love I see the hate I see this world that we can make
I see the life I see the sky Id give it all to see you fly
Yes we wave this flag of hatred but youre the ones who made it
I watch the beauty of all our lives passing right before my eyes
I hear the hate in all your words all the words to make us hurt
We get so sick were so sick we never wanted all this
Medication for the kids with no reason to live

So we march to the drums of the damned as we come
Watch it burn in the sun we are numb

We are young but we have heart
Born in this world as it all falls apart
",177,3.4237288135593222
Hooverphonic,The Magnificent Tree,2,relaxed,"Bought this guitar
At a shop called Mars
But on the way back home
Strange things happened in my car

Started to play
All by itself
Creatures jumped from
",29,4.241379310344827
Working for a Nuclear Free City,Quiet Place,2,relaxed,"Cross the lines down shifting lights
Catch its breath a stream of life
The tallest trees stretch to the sea
And to the edge where shadows meet

",27,4.296296296296297
Bruce Springsteen,Atlantic City,3,sad,"Well they blew up the chicken man in Philly last night
Now they blew up his house too
Down on the boardwalk theyre getting ready for a fight
Gonna see what them racket boys can do

Now theres trouble busing in from out of state
And the DA cant get no relief
Gonna be a rumble out on the promenade
And the gambling commissions hanging on by the skin of its teeth

Well now everything dies baby thats a fact
Maybe everything that dies someday comes back
Put your makeup on fix your hair up pretty
And meet me tonight in Atlantic City

Well I got a job and tried to put my money away
But I got debts that no honest man can pay
",125,3.968
Alison Moyet,Invisible,3,sad,,0,0.0
Eminem,We Made You,1,happy,,0,0.0
Polly Scattergood,I Hate The Way,3,sad,"I hate the way I cry when you say you miss me
But I love the way you hold me when I sleep
I hate the way I bleed each time you kiss me
But you say Hey sleeping beauty go back to sleep

We had pennies in our pockets
We had hope in our eyes
He said Girl youve got a million different faces
So whyd you put on that disguise
Well take what you want cause I have got nothing
Pass me some pills Ill go to bed
But however much I toss and turn
I feel a dark place up ahead

Some nights I just sit back here
I remember I just remember
Before it all got lost up in the mess
He said Not all men are bad and I am not like your dad
And I will hold you even though youre slightly mad
Cause I am not a man who will ever break you

We had pennies in our pockets
We had hope in our eyes
He said Girl youve got a million different faces
So whyd you put on that disguise
Well you can take what you want cause I have got nothing
",200,3.53
Ulrich Schnauss,Wherever You Are,2,relaxed,"5 SECONDS OF SUMMER
WATCH NOW
5 Seconds Of Summer  Wherever You Are
For a while we pretended
That we never had to end it
But we knew wed have to say goodbye
You were crying at the airport
When they finally closed the plane door
I could barely hold it all inside

Torn in two
And I know I shouldnt tell you
But I just cant stop thinking of you
Wherever you are
You
Wherever you are
Everynight I almost call you
Just to say it always will be you
",91,3.857142857142857
Tom Lehrer,We Will All Go Together When We Go,1,happy,"When you attend a funeral
It is sad to think that sooner o
Later those you love will do the same for you

And you may have thought it tragic
Not to mention other adjec
Tives to think of all the weeping they will do
But dont you worry
No more ashes no more sackcloth
And an armband made of black cloth
Will some day never more adorn a sleeve

For if the bomb that drops on you
Gets your friends and neighbors too
Therell be nobody left behind to grieve

And we will all go together when we go
What a comforting fact that is to know
Universal bereavement
An inspiring achievement
Yes we all will go together when we go

",122,4.032786885245901
Helena Bonham Carter & Johnny Depp,Poor Thing,3,sad,"You got a room over the shop havent you
If times is so hard why dont you rent it out
People think its haunted
Haunted
Yeah and whos to say theyre wrong
You see years ago something happened up there
Something not very nice

There was a barber and his wife
And he was beautiful
A proper artist with a knife
But they transported him for life
And he was beautiful

Barker his name was
Benjamin Barker
What was his crime
Foolishness

He had this wife ya see
Pretty little thing
Silly little nit
Had her chance for the moon on a string

",103,4.116504854368932
Megadeth,The World Needs a Hero,0,angry,"An iron fist quietly sits inside the Velvet Glove
Take control untouchable just like God above
I cant escape wrapped in red tape what will become of me
If I object then I defect my country tis of thee

The White House is calling
Tell them Ill call them back
Just tell em anything
Yeah get em off my back

The world needs a hero

Not that I would ever lie but I have no choice
Words I say heard today are not mine just my voice
",87,3.8735632183908044
Morrissey,Life Is A Pigsty,3,sad,"Its the same old SOS
But with brand new broken fortunes
And once again I turn to
Once again I do I turn to you
Its the same old SOS
But with brand new broken fortunes
Im the same underneath
But this you you surely knew

Life is a pigsty
Life is a pigsty
Life is a pigsty
Life is a pigsty
Life life is a pigsty
Life life is a pigsty
Life life is a pigsty
Life is a pigsty
",81,3.567901234567901
Muse,Agitated,0,angry,"All wound up
On the edge
Terrified
Sleep disturbed
Restless mind
Petrified
Bouts of fear
Permeate
All I see
Heightening
Nervousness
Theatens me

I am paralyzed
So afraid to die

Caught off guard
Warning signs
Never show
Tension strikes
",39,5.0
Fourplay,Fields Of Gold,2,relaxed,"Youll remember me when the west wind moves upon the fields of barley
Youll forget the sun in his jealous sky as we walk in fields of gold
So she took her love for to gaze awhile upon the fields of barley
In his arms she fell as her hair came down among the fields of gold

Will you stay with me will you be my love among the fields of barley
",72,3.736111111111111
Rascal Flatts,Summer Nights,1,happy,"Its summer nights baby
Whoa Yeah

Come on ladies its time to pop that top
And fellas I know youre ready to rock
We went crazy cooped up all winter long
And school is out so lets get it on
Flipflop tan and some white sand
I know the perfect spot
Well the sunset better set soon so we can get in the mood
Things start gettin all heated up when it starts gettin cool
Yeah

Summer nights
Everybody are you with me
Let that Igloo cooler mark your piece of paradise
Summer nights
Everybodys feeling sexy
Holler if youre ready for some summer nights
Come on oh yeah yeah

",110,4.109090909090909
José Padilla,Adios Ayer,2,relaxed,"Alishas Attic
Miscellaneous
Sex Is On Everyones Tongue
Sex is on everyones tongue
Everybody wants to be tied up with someone
Expectations are higher than kites
I see through it sometimes

Sex is on everyones tongue
Everybody wants to get a quick hit a quick fix
And thats just whats going on
Makes me wonder sometimes
Why we all play the game

Kissing perfect strangers with no shame
We dont catch their name
Cos well never fall in love
Thats a word we dont get
",85,4.411764705882353
Dr. Dog,The Breeze,2,relaxed,"Are you movin much too fast
And the good times that just dont last
If youre always on the go
Make an angel in the snow
And freeze

Do you feel like youre stuck in time
Forever waitin on that line
If nothing ever moves
Put that needle to the groove
And sing

Is it a dream keepin you awake
",60,3.783333333333333
Girls In Hawaii,Bees & butterflies,2,relaxed,"Bees  Butterflies

When Im feelings so high
My hands start to reach very high oh oh
When Im feeling so high
My hands start to reach very high oh oh

Sorry for it
",33,3.8181818181818183
Cradle of Filth,Dirge Inferno,0,angry,"Carrion my name
For those who choose to mouth the curse
A tragic serenade
With Judas in my stride
The Gothic halls of shame
Where statues coldly hold no worse
Than the murders I reclaim
From a dark forsaken time

Kissing heaven spent
He wipes lips free of his hectic discharge
Wishing to repent
For the brute that ravaged free
In slight hands beauty weeps
Conquests deep methodical screwing
Hurt repeatedly
Like the world wound at his feet

Dirge Inferno

As it is written damn it
So let it be wrong
",91,4.461538461538462
Foals,Big Big Love (Fig. 2),2,relaxed,"See how the skulls we build
Fill all the towers we build
Crash down fury red
Theres cracks in our hearts and heads

See how the skulls we build
Fill all the towers we build
Crash down fury red
Theres cracks in our hearts and heads

See how the skulls we build
Fill all the towers we build
Crash down fury red
Theres cracks in our hearts and heads

Your smile sticks a kiss
That could stop it
Your smile sticks a kiss
That could stop it
Your smile sticks a kiss
Your smile sticks a kiss
",97,3.979381443298969
Metallica,Welcome Home (Sanitarium),3,sad,"Welcome to where time stands still
No one leaves and no one will
Moon is full never seems to change
Just labelled mentally deranged

Dream the same thing every night
I see our freedom in my sight
No locked doors no windows barred
No things to make my brain seem scarred

Sleep my friend and you will see
The dream is my reality
They keep me locked up in this cage
Cant they see its why my brain says rage

Sanitarium
Leave me be
",84,4.071428571428571
Imogen Heap,Little Bird,2,relaxed,"Little bird little bird little bird what do you hear
The clink of morning cheers
Orange juice concentrate
Crossword puzzles start to grate
One across
Four letter word its just not sitting

Little bird little bird little bird what do you see
A picture perfect scene
Twotone lawns are manicured
The gardens wearing haute couture
Its hiding something its trying too hard
Hiding something its trying too hard

Little bird little bird little bird where are they now
Day time TV lounge
",82,4.829268292682927
The Flying Burrito Brothers,Do You Know How It Feels,3,sad,"Do you know how it feels to be lonesome
When theres just no one left who really cares
Did you ever try to smile at some people
And all they ever seem to do is stare

",36,3.5833333333333335
Grizzly Bear,Easier,2,relaxed,"I know I know the doors wont close
Pipes all froze just let it go

",15,3.4
Eric Church,Sinners Like Me,2,relaxed,"I was 15 when my daddys old man
Caught me halfway through my first beer
He laughed so hard when my face turned green
He said You come from a long line of sinners like me

Now me and my brother go to see him sometimes
But he dont have much to say anymore
So we sit on his headstone with a fifth of Jack D
Heres to a long line of sinners like me
Ladedahdedah
Ladedahdah dede
I come from a long line of sinners like me

",88,3.715909090909091
Bachman-Turner Overdrive,Roll On Down The Highway,1,happy,"We rented a truck and a semi to go
Travel down the long and the winding road
Look on the map I think weve been there before
Close up the doors lets roll once more

Cops on the corner look hes starting to write
Well I dont need no ticket so I screamed Outta sight
Drove so fast that my eyes cant see
Look in the mirror is he still following me

Let it roll down the highway
Let it roll down the highway
Roll roll

",86,3.7674418604651163
ZZ Top,Gimme All Your Lovin',1,happy,"I got to have a shot
Cause what you got is oh so sweet
You got to make it hot
Like a boomerang I need a repeat

Gimme all your lovin
All your hugs and kisses too

Gimme all your lovin
Dont let up until were through
",47,3.5319148936170213
System of a Down,War?,0,angry,"Dark is the light
The man you fight
With all your prayers incantations
Running away a trivial day
Of judgment and deliverance
To whom was sold this bounty soul
A gentile or a priest
Who victored over the Seljuks
When the holy land was taken

We will fight the heathens we will fight the heathens
We will fight the heathens we will fight the heathens

Was it the riches of the land
Powers of bright darkness
",76,4.328947368421052
Nachtmahr,Feuer Frei!,0,angry,"21 Zentimeter
Stahl an deiner Stirn
Meine neue Wahrheit
Frisst sich in dein Gehirn

9 Millimeter
Direkt in dein Gesicht
",20,4.95
Stacey Kent,Bali Ha'i,2,relaxed,"Bali Hai may call you
Any night and any day
In your heart youll hear it call you
Come away come away

Bali Hai will whisper
On the wind of the sea
Here am I your special island
Come to me come to me

",44,3.5
Taylor Swift,You Belong With Me,1,happy,"Youre on the phone with your girlfriend shes upset
Shes going off about something that you said
Cause she doesnt get your humor like I do
Im in the room its a typical Tuesday night
Im listening to the kind of music she doesnt like
And shell never know your story like I do

But she wears short skirts I wear Tshirts
Shes Cheer Captain and Im on the bleachers
Dreaming about the day when you wake up and find
That what youre looking for has been here the whole time

If you could see that Im the one who understands you
Been here all along so why cant you see
You belong with me you belong with me

Walk in the streets with you in your wornout jeans
I cant help thinking this is how it ought to be
Laughing on a park bench thinking to myself
",148,3.9864864864864864
The World/Inferno Friendship Society,Only Anarchists Are Pretty,1,happy,"And if we should be arrested
Before we sleep
Ill see you outside in a few days
Or in a few weeks
And if you should be shot
Trying to escape
Ill know that
For the lie thats written on its face
Well alright

And if we dont live to be
Old and faint
It will be because we got lazy
And forgot to get away
When we were young
You were the best thing going
I struggled mightly to keep
My hands to myself
After watching you strut down the street
",92,3.739130434782609
Tiger Lou,Like my very own blood,3,sad,"I promise you better things from now on
Im gonna love you like my own son
no more then me that you use to meet out here
at night I swear I swear

Im gonna love you like my very own son
like my very own blood
I swear
Im gonna love you like my very own son
like my very own blood
I swear
I will love you right there

",71,3.408450704225352
Slayer,Spiritual Law,0,angry,"Its time to be born again dont talk about sex thats a sin
Confess your evils to the man hell do everything he can
Dont go mass youll go to Hell well all be there itll be swell

Ruling your lives with such lies
You wont survive

Were being sucked up into the vacuum culture
This way this way its too late youre addicted
Come on control yourself snatch that bottle off the shelf
Youre trapped now with spiritual law spiritual law

Fiddle with your rosaries holy water makes me bleed
Attach that cross to to my head it may burn but it wont be dead

Go burn your rosaries go burn it all
Death to us all

It is time to congregate the mindless sheep dont be late
Youll be slammed youll be mould youll be thrown into the walls
",141,4.070921985815603
COLD,Stupid Girl,0,angry,"Wanna love ya wanna bug ya
Wanna squeeze ya stupid girl
Wanna touch ya wanna take ya
Wanna shut ya stupid girl

I cant take this
Born to break this

Shes going away shes going away
Whats wrong with my life today
Shes going away shes going away
Whats wrong with my life today

Stupid girl
Stupid girl

",58,4.120689655172414
Grand Archives,Torn Blue Foam Couch,2,relaxed,"Hold on the further waves are high
sleepless every night
lie down shading your eyes from everyone

Hey darlin dont you look fine
so blue all the time
when youre terrified

Over and over the lines
you memorized in time
now youre so tired
and the telephones too far away

Phone lives have taken all your time
",57,4.333333333333333
Ania,Turu Tu Tu...,3,sad,"Odejdź gdy już będziesz miał mnie dość
Ze mną trudno żyć problemów sto
Niespokojną ziemię pod stopami ciągle mam
Przy mnie zawsze będziesz sam

Turu tu tu turururu
Turu tu tu turururu
Turu tu tu turururu
Turu tu tu turu tu tu tu

Turu tu tu turururu
Turu tu tu turururu
Turu tu tu turururu
",55,4.236363636363636
